Id,Label
"Rilke, Rainer Maria","Rilke, Rainer Maria"
"Chenery, William L.","Chenery, William L."
"Hagedorn, Hermann","Hagedorn, Hermann"
"Purdon, Arthur","Purdon, Arthur"
"Hitch, Alfred","Hitch, Alfred"
"Head, Cloyd","Head, Cloyd"
"Rosenberg, Isaac","Rosenberg, Isaac"
"Tagore, Rabindranath","Tagore, Rabindranath"
"Groff, Alice","Groff, Alice"
"Strobel, Marion","Strobel, Marion"
"Szukalski, Stanislaw","Szukalski, Stanislaw"
"Knopf, Alfred A.","Knopf, Alfred A."
"Wilkinson, Marguerite","Wilkinson, Marguerite"
"Apollinaire, Guillaume","Apollinaire, Guillaume"
Li Po,Li Po
"Carman, Bliss","Carman, Bliss"
"Andelson, Pearl","Andelson, Pearl"
"Dudley, Dorothy","Dudley, Dorothy"
"Waley, Arthur","Waley, Arthur"
C. A. Z.,C. A. Z.
"Mallarmé, Stéphane","Mallarmé, Stéphane"
"Skinner, Constance","Skinner, Constance"
"Cowley, Malcolm","Cowley, Malcolm"
"De Bosschère, Jean","De Bosschère, Jean"
A. E.,A. E.
"Sinclair, May","Sinclair, May"
"Wescott, Glenway","Wescott, Glenway"
"Pinckney, Josephine","Pinckney, Josephine"
"Freer, Agnes Lee","Freer, Agnes Lee"
"Dresbach, Glenn Ward","Dresbach, Glenn Ward"
Wang Ch'ang Ling,Wang Ch'ang Ling
"Gabirol, Ibn","Gabirol, Ibn"
"Cournos, John","Cournos, John"
"Aldis, Mary","Aldis, Mary"
"Schuchert, Herman","Schuchert, Herman"
"Anderson, Margaret C.","Anderson, Margaret C."
"Maeterlinck, Maurice","Maeterlinck, Maurice"
"Fletcher, John Gould","Fletcher, John Gould"
"Garnett, Louise Ayres","Garnett, Louise Ayres"
"Hunt, Richard","Hunt, Richard"
"Wickham, Anna","Wickham, Anna"
"Campbell, Nancy","Campbell, Nancy"
"D'Orge, Jeanne","D'Orge, Jeanne"
"Dodd, Lee Wilson","Dodd, Lee Wilson"
"Barrett, Wilton Agnew","Barrett, Wilton Agnew"
"Stevens, Wallace","Stevens, Wallace"
"Heyward, DuBose","Heyward, DuBose"
"Williams, Oscar","Williams, Oscar"
"Simpson, William H.","Simpson, William H."
"Reed, John","Reed, John"
"McNaught, Elmond Franklin","McNaught, Elmond Franklin"
"Schneider, Isidor","Schneider, Isidor"
"Broadus, Edmund Kemper","Broadus, Edmund Kemper"
"Knevels, Mary Eastwood","Knevels, Mary Eastwood"
"McIntyre, Carlyle F.","McIntyre, Carlyle F."
"Tietjens, Eunice","Tietjens, Eunice"
"Campbell, Joseph","Campbell, Joseph"
A. F.,A. F.
"Daniel, Arnaut","Daniel, Arnaut"
"Picabia, Francis","Picabia, Francis"
Po Chu-I,Po Chu-I
"Dawson, Mitchell","Dawson, Mitchell"
"Gould, Wallace","Gould, Wallace"
"Richardson, Dorothy M.","Richardson, Dorothy M."
K.,K.
"Aldington, Richard","Aldington, Richard"
"Wilenski, Reginald H.","Wilenski, Reginald H."
jh,jh
"Geddes, Virgil","Geddes, Virgil"
"Driscoll, Louise","Driscoll, Louise"
A. S. K.,A. S. K.
"McCarthy, John Russell","McCarthy, John Russell"
"Macdougall, Allan Ross","Macdougall, Allan Ross"
"Schnack, Fritz","Schnack, Fritz"
"Griffith, William","Griffith, William"
"Taggard, Genevieve","Taggard, Genevieve"
"Fuller, Henry B.","Fuller, Henry B."
"Loy, Mina","Loy, Mina"
"Josephson, Matthew","Josephson, Matthew"
H. B. F.,H. B. F.
"Beach, Joseph Warren","Beach, Joseph Warren"
"Wolff, Adolf","Wolff, Adolf"
"Colahan, Ellwood","Colahan, Ellwood"
"Wilkinson, Florence","Wilkinson, Florence"
"Sandburg, Carl","Sandburg, Carl"
"Fitzgerald, Ellen","Fitzgerald, Ellen"
"Kaun, Alexander S.","Kaun, Alexander S."
"Glaenzer, Richard Butler","Glaenzer, Richard Butler"
"Spire, André","Spire, André"
"Frank, Florence Kiper","Frank, Florence Kiper"
